Century Interval,Number of Eclipses,Number of Partial Eclipses,Number of Annular Eclipses,Number of Total Eclipses,Number of Hybrid Eclipses
-1999 to -1900,239,84,70 [1],62 [0],22
-1899 to -1800,253,93,80 [0],62 [1],17
-1799 to -1700,254,95,73 [1],63 [1],21
-1699 to -1600,230,75,70 [1],60 [0],24
-1599 to -1500,225,78,65 [2],59 [0],21
-1499 to -1400,226,77,65 [4],61 [1],18
-1399 to -1300,234,76,83 [1],68 [0],6
-1299 to -1200,250,93,86 [0],64 [0],7
-1199 to -1100,252,93,89 [0],63 [0],7
-1099 to -1000,238,79,89 [2],67 [1],0
-0999 to -0900,226,84,74 [1],58 [3],6
-0899 to -0800,225,80,73 [2],64 [2],4
-0799 to -0700,234,79,88 [0],64 [0],3
-0699 to -0600,253,96,86 [1],63 [0],7
-0599 to -0500,255,96,85 [1],65 [0],8
-0499 to -0400,241,84,76 [2],62 [0],17
-0399 to -0300,225,83,62 [1],56 [0],23
-0299 to -0200,226,83,61 [1],55 [2],24
-0199 to -0100,237,80,71 [2],62 [1],21
-0099 to 0000,251,92,77 [0],64 [1],17
0001 to 0100,248,90,74 [1],58 [0],25
0101 to 0200,237,80,75 [2],63 [1],16
0201 to 0300,227,79,70 [4],69 [0],5
0301 to 0400,222,73,74 [2],65 [1],7
0401 to 0500,233,80,83 [1],67 [0],2
0501 to 0600,251,93,86 [1],65 [0],6
0601 to 0700,251,90,89 [1],67 [0],4
0701 to 0800,233,77,86 [2],66 [0],2
0801 to 0900,222,78,72 [2],62 [2],6
0901 to 1000,227,76,83 [1],65 [1],1
1001 to 1100,241,84,90 [0],61 [0],6
1101 to 1200,250,92,82 [0],61 [0],15
1201 to 1300,246,87,80 [1],60 [0],18
1301 to 1400,229,76,72 [3],54 [0],24
1401 to 1500,222,77,62 [3],60 [1],19
1501 to 1600,228,75,69 [3],62 [0],19
1601 to 1700,248,89,74 [0],60 [1],24
1701 to 1800,251,92,78 [0],62 [0],19
1801 to 1900,242,87,77 [0],63 [0],15
1901 to 2000,228,78,71 [2],68 [3],6
2001 to 2100,224,77,70 [2],67 [1],7
2101 to 2200,235,79,82 [5],65 [0],4
2201 to 2300,248,92,86 [0],67 [0],3
2301 to 2400,248,88,86 [0],66 [0],8
2401 to 2500,237,81,87 [2],65 [1],1
2501 to 2600,225,83,71 [1],63 [1],6
2601 to 2700,227,77,78 [3],64 [0],5
2701 to 2800,242,84,92 [0],63 [0],3
2801 to 2900,254,95,86 [1],63 [0],9
2901 to 3000,248,91,80 [2],64 [0],11
