url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,categoria,title_real,texto,data_real
https://actu.fr/nouvelle-aquitaine/nerac_47195/basket-val-dalbret-agen-bc-valse-entraineurs_21022767.html,https://actu.fr/nouvelle-aquitaine/nerac_47195/basket-val-dalbret-agen-bc-valse-entraineurs_21022767.html/amp,Basket . Val dAlbret et Agen BC : la valse des entraîneurs,20190123T163000Z,https://static.actu.fr/uploads/2019/01/Basket-Ort%C3%A9ga-854x572.jpg,actu.fr,French,France,financeira,Basket. Val d'Albret et Agen BC: la valse des entraîneurs,"Sans club depuis 7 mois, le Landais Christian Ortéga reprend du service. L’ancien coach du BB Marmandais (2010-2013) est appelé au chevet d’un autre club lot-et-garonnais, le Val d’Albret (10e), à la lutte pour le maintien. En mai 2018, il avait quitté Gardonne, après deux saisons aux commandes. Au sein du club dordognot, Fred Rocco (ex-BBM) a pris sa succession.

Promu en Nationale 2 en mai 2017, le VAB est coutumier du fait de par son instabilité au poste de technicien. Laurent Ruesgas avait renoncé dans le courant de la première saison, remplacé en interne par William Ramadour. Lequel à son tour s’était retiré pour laisser la place à Aziz El Hajji, son adjoint.

Des intérimaires au service du VAB

En désaccord avec la direction du club, le Gersois Greg Elorza (ex-Valence/Condom) a jeté à son tour l’éponge après une très bonne entame (4 succès), suivie d’une série négative (5 défaites). « Le projet sportif n’était pas en accord avec celui qui m’avait été présenté lors de mon installation », avait-il ainsi justifié son refus de continuer dans ces conditions. De lui-même, Greg Elorza avait jugé préférable de mettre un terme à son contrat.

Le temps de trouver une solution externe, le VAB avait confié les commandes de l’équipe fanion à… William Ramadour, l’intérimaire de service. C’est lui qui officiait encore samedi sur le banc à Barbaste, pour la venue du Garonne AB.

La situation a pris une autre tournure durant le week-end. La direction du club a annoncé officiellement sur sa page Facebook l’accord d’un nouveau coach, à savoir, comme nous le disions, Christian Ortéga. L’ancien international et capitaine de l’Elan Béarnais, avec qui il a notamment remporté la Coupe Korac (1984) et été sacré champion de France (1986 et 1987) a déjà vécu pareille situation en cours de saison, quittant Hagetmau (N.3), son club de fin de carrière de joueur, pour tenter de sauver les JSA Bordeaux…

Agen BC: retour de Seb Boutin

Âgé de 55 ans, Christian Ortega s’est engagé jusqu’à la fin de saison avec le club vabiste. Devant lui, se dressent 11 journées de championnat, la prochaine étant le 2 février au Stadium d’Agen… Tiens donc, à l’ABC, aussi, il est observé un changement de même nature, avec le remplacement de Léo Sansot par un « revenant », Sébastien Boutin, qui avait déjà été aux manettes entre 2012 et 2014…

Vidéos : en ce moment sur Actu

Un revenant à Agen BC: le Meilhanais Sébastien Boutin redevient entraîneur. (©Le Républicain – Dominique Empociello)

Personnalisez votre actualité en ajoutant vos villes et médias en favori avec Mon Actu.",
https://www.expressandstar.com/news/crime/2019/01/24/two-arrested-on-firearms-charges-after-break-in-at-wolverhampton-home/,,Man armed with gun breaks into Wolverhampton home,20190124T171500Z,https://www.expressandstar.com/resizer/iZQ1KP0icxFSKWTcFEMATi937k0=/1200x0/filters:quality(100)/https%3a%2f%2farc-anglerfish-arc2-prod-expressandstar-mna.s3.amazonaws.com%2fpublic%2f5N3B7ZJYRVD3VELNSDLA5NWPJE.jpg,expressandstar.com,English,United Kingdom,financeira,Man armed with gun breaks into Wolverhampton home,"A man broke into a house in Wolverhampton armed with a gun before locking himself in a room.

Two people have been arrested following the incident which unfolded in Parkfield Road, in Ettingshall, this morning.

The armed man broke into the house at around 9.40am and then locked himself in an upstairs room.

He then left the property and was later arrested, along with a woman, in nearby Vale Road on suspicion of possessing a firearm.

Eyewitnesses said armed police had stormed the residential street.

The man and woman were arrested in Vale Street this morning

A spokesman from West Midlands Police said: ""A man and woman have been arrested after people were called to a report that a man had broken into an address in Parkfield Road, Ettingshall this morning (Thursday 24 January).

""The man, who was armed with a gun, entered a house at around 9.40am and locked himself into an upstairs room.

""Shortly afterwards, he left that address and was arrested together with a woman, by police in Vale Street.

""A 24-year-old man and a 19-year-old woman have been arrested on suspicion of possession of a firearm and both remain in police custody.""

Residents in the street expressed their shock at the police presence in the area – but said it is not unusual for the street.

Eileen Furnival, 87, said: ""I saw a police car across the road but that was all and I've not heard anything about it. It is usually quiet around here and you don't hear anything really.

""It was quite surprising and the police were here for a quite a while.

""I was told by a friend something had happened down the street and they told me to lock my door.""

Another resident, who wished to remain anonymous, said: ""The police have been here before. There was quite a few officers - I can't tell you how many - but lots.

""It livens the street up. I don't know [the reason] but I have got my own suspicions.""

A former resident, who moved away from the street 20 years ago but was visiting, added: ""There's always something or another happening - it's Vale Street.

""It's been the last few years that it's changed. I used to play in the street and the memories I've got - it was the best.

""This is not surprising at all.""

Anyone with information about the incident is asked to call West Midlands Police on 101 quoting incident reference number 669 of January 24.

Alternatively, witnesses can call Crimestoppers anonymously on 0800 555111.",2019-01-24 00:00:00
https://www.ledauphine.com/skichrono/2019/01/23/coupe-d-europe-a-courchevel-lucas-braathen-s-impose-encore,,SkiChrono | Coupe dEurope à Courchevel : Lucas Braathen simpose encore ! ,20190123T141500Z,https://cdn-s-www.ledauphine.com/images/B66496D5-5543-4977-8DFF-038656923158/FB1200/photo-1548250719.jpg,ledauphine.com,French,France,financeira,SKI ALPIN . Coupe d’Europe à Courchevel : Lucas Braathen s'impose encore !,"A 18 ans, le jeune sociétaire de Baerums Skiklub a raflé la mise en 2’01’’73, dans une terre savoyarde où il avait disputé la première de ses quatre Coupes du monde, à Val d’Isère en décembre 2018 (26e en géant) et déjà terminé 8e à Val Venis le 6 janvier (en slalom).

Lucas Braathen, dossard jaune de leader du géant en Coupe d’Europe, restait sur un succès le 17 janvier à Kronplatz en Italie, toujours sur la scène continentale. Il s'agit de sa troisième victoire de la saison à l'échelon continentale.

Sur une piste parfaitement préparée, digne d’une Coupe du monde, il a devancé (sous le soleil puis le jour blanc) deux Autrichiens sur le podium : Stefan Brennsteiner (+0’’26) et Patrick Feurstein (+0’’93).

Le premier Français se classe 29e : il s’agit du skieur représentant Les Menuires, Rémy Falgoux (22 ans), qui avait fait ses débuts sur le circuit Coupe du monde mi-décembre 2018 à Alta Badia (chute en géant). « J’ai été un peu gentil. La neige est super facile, ce n’est pas trop compliqué mais j’étais un peu trop dur. Je ne suis pas allé dans la vitesse. Vu comment j’ai skié, c’était compliqué de faire un top 15 d’autant qu’il y avait un peu de monde… », expliquait le membre de l’équipe de France, originaire de Besse, révélé à Sancy et étudiant en licence Staps à Grenoble.

Un deuxième géant européen est au programme ce jeudi au stade Emile-Allais de Courchevel (manche inaugurale à 10 h, deuxième à 13 h).

> Les résultats complets",2019-01-23 00:00:00
https://www.sudinfo.be/id97663/article/2019-01-23/entre-sambre-et-meuse-une-dizaine-dappels-pour-fuites-de-gaz,,Entre - Sambre - et - Meuse : une dizaine dappels pour fuites de gaz ! ,20190123T100000Z,https://www.sudinfo.be/sites/default/files/dpistyles_v2/FirstImageUrl/2019/01/23/node_97663/32390444/public/2019/01/23/B9718329165Z.1_20190123102158_000+GG1CR4NMV.1-0.jpg?itok=i-SaR_zn,sudinfo.be,French,Belgium,financeira,Entre-Sambre-et-Meuse: une dizaine d’appels pour fuites de gaz!,"Gros coup de chaud ce mercredi matin pour les pompiers des zones DinaPhi et Val de Sambre.

Ceux-ci ont été appelés sur une dizaine d’endroits alors que des odeurs de fuite de gaz étaient signalées.

Ils ont ainsi dû se rendre à la rue Saint-Martin de Tamines (Sambreville), rue Saint-Donat à Mettet, route de Philippeville à Tarcienne (Walcourt), rue de la Gendarmerie à Philippeville, rue de la Brasserie à Florennes, rue de Neuville à Philippeville, Boulevard de l’Enseignement à Philippeville (non loin de l’Institut Notre-Dame où les élèves ont du reste été confinés) et deux fois au Domaine de la Maladrerie à Walcourt.

Les sept appels concernant la zone DinaPhi se sont étalés entre 7h17 et 8h30. Depuis, les pompiers n’ont plus été sollicités.

Sur place, des mesures ont été réalisées au détecteur. Le résultat s’est à chaque fois avéré négatif.

La cause de ces odeurs n’a pas pu être clairement établie. Mais pour le colonel Marc Gilbert, chez de la zone Val de Sambre, elles devraient vraisemblablement avoir été causées par un phénomène de putréfaction des égouts suite à la fonte des neiges. Le changement de pression atmosphérique pourrait aussi être à la base de ce phénomène. En tels cas de figure, les odeurs dégagées peuvent, de fait, être assimilées à une odeur de gaz.

À Charleroi, les pompiers de la zone Hainaut-Est ont dû intervenir durant toute la nuit pour des cas similaires.",2019-01-23 00:00:00
https://www.republicain-lorrain.fr/edition-de-briey/2019/01/23/oualid-une-mort-suspecte-pour-la-famille,,Edition de Briey | Oualid  : une mort suspecte pour la famille,20190123T043000Z,https://cdn-s-www.republicain-lorrain.fr/images/682475B1-D038-4C14-943D-969A64D95D2A/ERV_11FB/photo-1548189936.jpg,republicain-lorrain.fr,French,France,financeira,FAITS DIVERS Tucquegnieux : qu’est-il arrivé à Oualid Fodil ?,"Dans la soirée du lundi 8 octobre, Lilia comprend tout de suite, en voyant arriver une dizaine de gendarmes sur son palier, que quelque chose de grave est arrivé à son frère. « J’avais passé la journée du dimanche à le chercher, il était injoignable sur son téléphone », retrace-t-elle. Les militaires annoncent à la sœur et la mère une triste nouvelle qui va au-delà de leurs craintes : Oualid est décédé.

Son corps a été retrouvé quelques heures plus tôt par un riverain, au pied d’un pont, dans la commune voisine de Tucquegnieux. La dépouille gisait près de la voie ferrée de l’ancienne mine, abandonnée à la végétation.

Durant une bonne partie de la nuit, les techniciens de l’identification criminelle effectuent leurs relevés, les riverains sont interrogés. Mais rien ne permet de dire que l’homme de 30 ans, qui habitait chez sa mère à Mancieulles, dans le Val de Briey, est tombé du pont. Les blessures constatées sur le corps ne semblent pas correspondre à un saut de l’ange. L’ecchymose à la tête et les dermabrasions interpellent. L’autopsie ne permet pas de savoir avec précision comment et quand est mort Oualid Fodil .",2019-01-23 00:00:00
https://www.qt.com.au/news/helicopter-tasked-to-brisbane-valley-crash/3630280/,,Helicopter tasked to Brisbane Valley crash,20190124T111500Z,https://media.apnarm.net.au/media/images/2019/01/24/b881775564z1_20190124135037_000g051d755d2-0-qkvp6800mlt6qsnoor2_fct2259x1693x145_ct300x300.jpg,qt.com.au,English,Australia,financeira,,,
https://www.eveningexpress.co.uk/fp/news/local/court/murder-trial-hears-nearly-200000-found-at-brian-mckandies-home-by-police/,https://www.eveningexpress.co.uk/fp/news/local/court/murder-trial-hears-nearly-200000-found-at-brian-mckandies-home-by-police/amp/,"Murder trial hears nearly £200 , 000 found at Brian McKandie home by police",20190123T140000Z,https://www.eveningexpress.co.uk/wp-content/uploads/sites/10/2019/01/5c481065ada639.76226592-848x564.jpg,eveningexpress.co.uk,English,United Kingdom,financeira,,,
http://frikigamers.com/2019/01/groundbreaking-card-builder-mystic-vale-launches-on-steam-january-31st/,http://frikigamers.com/2019/01/groundbreaking-card-builder-mystic-vale-launches-on-steam-january-31st/amp/,Groundbreaking Card - builder Mystic Vale launches on Steam January 31st,20190124T044500Z,http://frikigamers.com/wp-content/uploads/2019/01/groundbreaking-card-builder-mystic-vale-launches-on-steam-january-31st-frikigamers.com_.jpg.jpg,frikigamers.com,English,,financeira,Groundbreaking Card-builder Mystic Vale launches on Steam January 31st,"Chengdu All Gamers (AG) se proclama campeón en la gran final de la King Pro League, el viaje continúa con el Campeonato Internacional de Honor of Kings el 14 de noviembre

¡La final del campeonato KPL 2025 ha batido el…",2019-01-22 16:56:02+00:00
https://www.amny.com/things-to-do/food-porn-brunch-boys-1.26353970,https://www.amny.com/amp/things-to-do/food-porn-brunch-boys-1.26353970,  Food porn  workshop by Brunch Boy Jeremy Jacobowitz coming to Brooklyn,20190124T000000Z,https://cdn.newsday.com/polopoly_fs/1.26353975.1548286432!/httpImage/image.jpg_gen/derivatives/landscape_1280/image.jpg,amny.com,English,United States,financeira,‘Food porn’ workshop by Brunch Boys’ Jeremy Jacobowitz coming to Brooklyn,"Brunch Boys’ Jeremy Jacobowitz will teach how to make great ""food porn"" shots for Instagram using food like this ""OG Pizza"" from Leuca. Photo Credit: Courtesy of The William Vale

Brunch Boys’ Jeremy Jacobowitz will teach how to make great ""food porn"" shots for Instagram using food like this ""OG Pizza"" from Leuca. Photo Credit: Colleen Hayes/NBC/NBC

I’ll admit it — I am one of those people who take a photo of their food before they eat it.

Give me a big scoop of ice cream with caramel dripping down the side, a perfectly browned pepperoni pizza with melting, stringy cheese and I’ll give you #foodporn.

The act of photographing mouthwatering dinners or gooey desserts has become a meal-time ritual — in fact, for some, it’s a way of gaining social influence.

Jeremy Jacobowitz, founder of Brunch Boys, a foodie-centric media company and influencer with 400,000 Instagram followers, is hosting an entire workshop on how to capture the perfect Instagram-worthy shot of food and drink this Saturday.

Starting at Westlight at the top of The William Vale hotel, Jacobowitz will have participants test their Instagramming skills by taking photos of dishes and cocktails with the city’s skyline in the background and also during a brunch at Leuca that’ll feature sheep’s milk ricotta drizzled with hot honey and garlic, lemon ricotta pancakes sprinkled with toasted pine nut butter and splash of maple syrup, and its ""OG Pizza"" made with pepperoni and Fresno chili.

While munching and snapping away, guests also get to enjoy and photograph Bloody Marys by Svedka vodka and latte art by Bulletproof.

Jacobowitz will guide food photogs through a series of tips that’ll help capture the perfect shot and increase your social media presence.

This reporter’s try at a #foodporn shot. Photo Credit: Shaye Weaver

I asked Jacobowitz for some pointers and tried to dig into why this workshop might be worthwhile via email on Wednesday:

What do you want participants to come out of the class with?

I want to show them a mix of simple things that they can easily do to improve their photos right away, and things they can begin to use, where with practice, they can vastly improve their photo skills.

Everyone is certainly taking more photos than ever before. I think it’s definitely becoming more of a shared interest, where photography used to be a niche hobby.

Why are the dishes from Leuca good for this lesson?

My life is WAY easier when the dishes look great, that’s half the battle. And I know the dishes from Leuca are already super photogenic! This way we can concentrate on just the photography side of things.

How have these skills helped you in your role as an influencer?

The most important thing to do as an influencer is to stand out, so the better your photos are, the more unique your content is, and the more you will stand out from the rest.

And finally, do you have 3-4 tips on how to create food porn to pass on to readers?

Natural light is your best friend

Look for interesting angles with each dish

Look for some motion when you can (think cheese pull, yolk porn, etc.)

For when you are ready to take it to the next level with a camera, make sure you shoot in raw

Newsday photographer Marisol Diaz-Gordon’s mouth-watering shot at the first Nutella cafe in Manhattan. Photo Credit: Marisol Diaz-Gordon

If you go: Tickets are $75 per person at eventbrite.com. The workshop begins at 12:30 p.m. Saturday at The William Vale, 111 N.12th St., Brooklyn.",2019-01-24 16:45:42-05:00
https://www.latinfinance.com/daily-briefs/2019/1/23/vale-talks-revolver-terms,,Vale talks revolver terms | LatinFinance . com,20190123T040000Z,,latinfinance.com,English,Brazil,financeira,Vale talks revolver terms,,2019-01-23 00:00:00
"https://www.midilibre.fr/2019/01/22/gard-daniel-bechet-et-eric-luther-invites-du-festival-de-jazz-a-theziers,7968160.php","https://www.midilibre.fr/amp/2019/01/22/gard-daniel-bechet-et-eric-luther-invites-du-festival-de-jazz-a-theziers,7968160.php",Gard : Daniel Bechet et Eric Luther invités du festival de jazz à Théziers,20190124T111500Z,https://images.midilibre.fr/api/v1/images/view/5c472c0e3e4546241d6ee124/large/image.jpg,midilibre.fr,French,France,financeira,Gard : Daniel Bechet et Eric Luther invités du festival de jazz à Théziers,"La communauté de communes du Pont du Gard proposent avec le Laboory jazz production la deuxième édition du festival ""Au fil du jazz"", du 26 janvier au 10 février.

Après le succès de la première édition du festival ""Au fil du jazz"", avec un public venu en nombre sur le territoire, la communauté de communes du Pont du Gard et le Labory Jazz Production proposent quatre nouveaux concerts cette saison. Un festival pour tous les publics, adeptes comme novices.

Le programme

Samedi 26 janvier, à Théziers, à 20 h 30, à la salle Volpellières, Daniel Sydney Bechet et Eric Luther Sextet, fils de deux légendes - Sydney Béchet et Claude Luther-, n’avaient jamais vraiment eu l’occasion de jouer ensemble.

C’est à présent chose faite avec ce projet initié par le Labory jazz Club production, où ils interpréteront les plus belles compositions de leurs pères ainsi que les classiques de la Nouvelle Orléans.

Samedi 2 février, à Meynes, à 20 h 30, à la salle des fêtes, Swing Machine, un quartet décoiffant, interprétera les grands standards du swing.

Samedi 9 février, à Pouzilhac, à 20 h 30; à la salle polyvalente de l’Oustaou, Coco Briaval et Gypsy swing quartet, une formation exceptionnelle d’auteurs compositeurs dont le répertoire mélodique est imprégné de leurs racines culturelles Sintis, teinté de swing et d’influences contemporaines.

Dimanche 10 février, à Valliguières, à 16 h 30, au foyer Fernand Benoît, Igor Nasonov quartet en collaboration avec l’association Val d’Eaux Vives, donnera un concert de médiation culturelle en clôture du festival. Trompettiste diplômé du conservatoire de Moscou, Igor Nasonov invite à un voyage dans le répertoire des grands compositeurs russe (Tchaïkovski, Prokoviev...). Il donne à leurs mélodies des versions improvisées dans le style le plus contemporain du jazz.



Réservations conseillées au 0466376767du lundi au vendredi de 9 h à midi et e 14 h à 16 h (dans la limite des places disponibles). Tarif : 7 €.Gratuit pour les moins de 12 ans. Infos sur www.cc-pontdugard.fr",2019-01-22 00:00:00
https://www.cnbc.com/2019/01/22/reuters-america-update-1-brazil-seeks-to-privatize-pave-trans-amazonian-highway.html,https://www.cnbc.com/amp/2019/01/22/reuters-america-update-1-brazil-seeks-to-privatize-pave-trans-amazonian-highway.html,"UPDATE 1 - Brazil seeks to privatize , pave Trans - Amazonian Highway",20190123T000000Z,,cnbc.com,English,United States,financeira,,,
https://www.news.com.au/national/breaking-news/thai-ambassador-urges-patience-for-refugee/news-story/15d35235b2042e9b06c168e7ff03eb47,https://amp.news.com.au/national/breaking-news/thai-ambassador-urges-patience-for-refugee/news-story/15d35235b2042e9b06c168e7ff03eb47,Thai ambassador urges patience for refugee,20190124T103000Z,,news.com.au,English,Australia,financeira,,,
http://streetwisereport.com/active-brokers-choice-vale-s-a-nysevale-transocean-ltd-nyserig/3442702/,,"Active Broker Choice : Vale S . A . ( NYSE : VALE ), Transocean Ltd . ( NYSE : RIG ) ",20190123T131500Z,,streetwisereport.com,English,United States,financeira,,,
https://www.portsmouth.co.uk/lifestyle/food-and-drink/add-fantastic-fibre-to-your-diet-with-tasty-lentils-lawrence-murphy-1-8783393,https://www.portsmouth.co.uk/lifestyle/food-and-drink/add-fantastic-fibre-to-your-diet-with-tasty-lentils-lawrence-murphy-1-8783393/amp,Add fantastic fibre to your diet with tasty lentils – Lawrence Murphy,20190124T183000Z,,portsmouth.co.uk,English,United Kingdom,financeira,Add fantastic fibre to your diet with tasty lentils – Lawrence Murphy,"Gurnard with lentils and parsley juice

Did you know with a Digital Subscription to The News, you can get unlimited access to the website including our premium content, as well as benefiting from fewer ads, loyalty rewards and much more.

The study showed eating 30g of fibre a day has a great impact on your future health. It doesn’t sound a lot but a whole apple, including the skin, is only 4g worth.",2019-01-24 14:43:04+00:00
